"year","fips_state","state_code","state_name","poverty_rate","poverty_rate_moe","poverty_count","poverty_count_moe","poverty_universe","median_hh_income","median_hh_income_moe"
"1989","01","AL","Alabama",0.177,0.0065,709148,25350,,22202,1076
"1993","01","AL","Alabama",0.188,0.01,790351,41395,,25907,1168
"1995","01","AL","Alabama",0.176,0.0065,752097,28562,,27357,1404
"1996","01","AL","Alabama",0.167,0.01,717822,42960,,29618,1785
"1997","01","AL","Alabama",0.162,0.01,700944,43620,,30790,1659
"1998","01","AL","Alabama",0.157,0.01,681788,42670,4348444,33204,1991
"1999","01","AL","Alabama",0.153,0.0095,667468,42217,4368014,33840,1469
"2000","01","AL","Alabama",0.146,0.007,637119,30864,4371402,34923,1683
"2001","01","AL","Alabama",0.157,0.0065,685071,29769,4373427,34761,1384
"2002","01","AL","Alabama",0.154,0.007,679856,33029,4414359,35943,1757
"2003","01","AL","Alabama",0.153,0.0075,677455,32808,4436894,36131,1472
"2004","01","AL","Alabama",0.161,0.0095,717483,41491,4463171,37062,1448
"2005","01","AL","Alabama",0.169,0.0035,749592,14919,4429785,36936,505
"2006","01","AL","Alabama",0.166,0.003,743556,13259,4482161,38811,491
"2007","01","AL","Alabama",0.166,0.0035,750197,15498,4506569,40596,418
"2008","01","AL","Alabama",0.159,0.003,721875,14892,4541753,42586,662
"2009","01","AL","Alabama",0.175,0.0035,805223,16110,4588886,40547,510
"2010","01","AL","Alabama",0.189,0.003,883078,15972,4667040,40538,457
"2011","01","AL","Alabama",0.191,0.004,896117,16943,4687327,41427,533
"2012","01","AL","Alabama",0.19,0.003,896515,16310,4706967,41610,467
"2013","01","AL","Alabama",0.189,0.003,889091,15950,4716072,42882,622
"2014","01","AL","Alabama",0.192,0.004,905682,17365,4727546,42917,582
"2015","01","AL","Alabama",0.185,0.003,875853,16072,4736374,44833,723
"2016","01","AL","Alabama",0.172,0.004,814197,17270,4741355,46309,659
"2017","01","AL","Alabama",0.169,0.004,802263,17746,4752519,48193,742
"2018","01","AL","Alabama",0.168,0.003,801758,16090,4763811,49881,758
"2019","01","AL","Alabama",0.156,0.004,747478,16987,4781642,51771,592
"2020","01","AL","Alabama",0.149,0.004,714568,19319,4799999,53958,945
"2021","01","AL","Alabama",0.163,0.004,800848,18679,4920612,53990,772
"1989","02","AK","Alaska",0.106,0.0065,57539,3480,,33885,2046
"1993","02","AK","Alaska",0.112,0.0105,67099,6348,,39431,1624
"1995","02","AK","Alaska",0.101,0.0065,60735,3866,,42255,1987
"1996","02","AK","Alaska",0.106,0.011,64480,6773,,44797,2883
"1997","02","AK","Alaska",0.112,0.0115,68409,6980,,43657,2400
"1998","02","AK","Alaska",0.108,0.0115,65970,6959,611654,47177,2148
"1999","02","AK","Alaska",0.088,0.0095,53963,6046,616255,49133,1605
"2000","02","AK","Alaska",0.085,0.007,52442,4029,616957,51433,2092
"2001","02","AK","Alaska",0.087,0.0065,54357,4129,628085,52332,1826
"2002","02","AK","Alaska",0.093,0.0065,58932,4370,636327,51844,1984
"2003","02","AK","Alaska",0.098,0.0065,63126,4206,642387,52391,1627
"2004","02","AK","Alaska",0.1,0.0085,64660,5723,649816,52141,1687
"2005","02","AK","Alaska",0.108,0.005,69093,3143,637576,55477,1267
"2006","02","AK","Alaska",0.109,0.005,71120,3060,651952,58572,1127
"2007","02","AK","Alaska",0.098,0.005,65266,3101,666598,62854,1285
"2008","02","AK","Alaska",0.092,0.005,61871,3365,669799,67332,1613
"2009","02","AK","Alaska",0.091,0.005,61949,3461,682420,66712,1536
"2010","02","AK","Alaska",0.11,0.006,76850,3934,696834,63456,1395
"2011","02","AK","Alaska",0.108,0.005,76021,3422,706859,65699,1552
"2012","02","AK","Alaska",0.108,0.005,77494,3451,715616,66503,1490
"2013","02","AK","Alaska",0.101,0.005,72643,3587,718370,70058,1633
"2014","02","AK","Alaska",0.114,0.006,81622,4011,717708,70898,1475
"2015","02","AK","Alaska",0.104,0.005,74941,3542,720764,73391,1869
"2016","02","AK","Alaska",0.099,0.006,71916,4103,723955,76144,1769
"2017","02","AK","Alaska",0.11,0.006,79428,4155,720474,74058,1959
"2018","02","AK","Alaska",0.111,0.006,80224,3971,720866,74912,1837
"2019","02","AK","Alaska",0.102,0.006,73033,4393,713733,77203,2261
"2020","02","AK","Alaska",0.096,0.005,68714,3762,713257,79961,2430
"2021","02","AK","Alaska",0.108,0.005,77736,3558,716775,78437,1981
"1989","04","AZ","Arizona",0.147,0.006,535462,22186,,28924,1143
