"year","fips_state","state_code","state_name","poverty_rate","poverty_rate_moe","poverty_count","poverty_count_moe","poverty_universe","median_hh_income","median_hh_income_moe"
"2006","49","UT","Utah",0.107,0.0035,269611,8805,2508640,51373,543
"2007","49","UT","Utah",0.098,0.0035,254385,8627,2601521,55220,708
"2008","49","UT","Utah",0.097,0.003,261556,9218,2695235,56820,687
"2009","49","UT","Utah",0.117,0.004,321441,10819,2741773,55183,742
"2010","49","UT","Utah",0.133,0.004,362689,10582,2730180,54740,590
"2011","49","UT","Utah",0.136,0.004,377396,12435,2771350,55802,757
"2012","49","UT","Utah",0.13,0.004,364124,11707,2806006,57067,700
"2013","49","UT","Utah",0.126,0.004,360119,11471,2851584,59715,730
"2014","49","UT","Utah",0.118,0.004,341587,10742,2897763,60943,636
"2015","49","UT","Utah",0.112,0.004,331233,10611,2947857,62961,1136
"2016","49","UT","Utah",0.102,0.004,307270,11530,3004151,65931,903
"2017","49","UT","Utah",0.097,0.004,296138,11337,3052627,68395,1128
"2018","49","UT","Utah",0.091,0.004,283562,11234,3110946,71381,719
"2019","49","UT","Utah",0.088,0.003,279435,11012,3157998,75705,1050
"2020","49","UT","Utah",0.073,0.004,234666,11624,3200001,77785,1305
"2021","49","UT","Utah",0.087,0.004,286086,12377,3290435,79449,1207
"1989","50","VT","Vermont",0.099,0.0055,54376,3117,,27937,1237
"1993","50","VT","Vermont",0.122,0.009,70186,5271,,30766,1260
"1995","50","VT","Vermont",0.112,0.008,65142,4634,,32350,1640
"1996","50","VT","Vermont",0.11,0.01,64559,5920,,33352,1947
"1997","50","VT","Vermont",0.097,0.0105,56967,6073,,35210,1722
"1998","50","VT","Vermont",0.096,0.01,56547,5727,589133,37947,1852
"1999","50","VT","Vermont",0.093,0.009,55438,5426,596413,39571,1400
"2000","50","VT","Vermont",0.088,0.0065,53236,3797,601967,40537,1753
"2001","50","VT","Vermont",0.089,0.006,53864,3696,606295,41342,1405
"2002","50","VT","Vermont",0.093,0.0065,56993,4244,609673,41962,1774
"2003","50","VT","Vermont",0.092,0.0065,56076,4139,612150,42649,1412
"2004","50","VT","Vermont",0.087,0.0085,53305,5322,614897,44548,1560
"2005","50","VT","Vermont",0.104,0.0045,62748,2871,600535,45695,978
"2006","50","VT","Vermont",0.102,0.004,61694,2454,603572,47778,1018
"2007","50","VT","Vermont",0.101,0.005,60609,2937,600232,49698,1001
"2008","50","VT","Vermont",0.104,0.005,62505,3069,599715,52111,923
"2009","50","VT","Vermont",0.115,0.0055,69137,3319,600251,51219,863
"2010","50","VT","Vermont",0.124,0.006,74720,3548,600863,49393,1140
"2011","50","VT","Vermont",0.119,0.005,71378,2977,601231,52033,1209
"2012","50","VT","Vermont",0.119,0.005,71626,3037,601606,52700,1099
"2013","50","VT","Vermont",0.123,0.006,73947,3396,602556,52511,1328
"2014","50","VT","Vermont",0.12,0.006,72294,3435,601822,54153,1414
"2015","50","VT","Vermont",0.104,0.005,62643,3225,600659,56883,1215
